episode,reward,loss
1,-34.9,395.61444
2,-16.5,86.27052
3,-37.2,401.08047
4,-33.7,339.14792
5,-43.0,610.12311
6,-8.2,-0.24708
7,-41.6,650.80072
8,-45.0,644.74225
9,-11.1,3.33868
10,-39.4,629.67267
11,-23.1,192.86023
12,-26.0,276.5368
13,-28.4,295.14435
14,-37.2,606.09064
15,-22.9,230.59503
16,-18.6,108.74195
17,-42.6,666.77191
18,-23.2,223.88918
19,-26.4,302.37656
20,-24.2,237.51166
21,3.5,4.41151
22,-38.8,396.47058
23,-33.0,382.47958
24,-25.2,263.43167
25,-27.1,134.04871
26,-18.6,98.16613
27,-27.4,320.07867
28,-37.4,499.48148
29,-18.8,123.12653
30,12.0,29.39511
31,-18.0,123.63939
32,-39.8,445.93866
33,-0.8,3.12901
34,-7.0,0.32804
35,-25.2,259.56299
36,-40.6,609.37341
37,-27.0,95.42178
38,-4.9,0.92605
39,-10.8,3.1306
40,-29.6,350.50797
41,-34.3,385.39969
42,-16.3,120.83123
43,-21.8,116.11812
44,-26.4,256.54489
45,-27.4,275.25903
46,-17.0,15.28878
47,-16.8,64.80974
48,-6.6,14.6919
49,-31.3,260.98557
50,-40.4,633.70062
51,-29.6,352.86212
52,-29.6,287.07101
53,-39.4,622.05609
54,-37.2,589.3421
55,-52.4,736.70691
56,-18.7,38.83055
57,-33.4,382.29199
58,-27.4,262.43112
59,-28.6,292.56332
60,-7.6,3.47475
61,-21.2,50.73941
62,-38.5,358.87769
63,-17.8,40.79751
64,-25.4,198.03204
65,-55.2,656.2309
66,-21.3,106.2574
67,-19.8,96.34155
68,-16.5,69.80111
69,-21.3,36.71861
70,-7.8,1.39482
71,-28.6,284.16248
72,-30.6,332.05533
73,-13.4,14.37496
74,-25.2,251.18723
75,0.6,2.04194
76,-11.3,24.2073
77,-25.2,250.0722
78,-5.4,-0.94457
79,-15.4,87.7911
80,-8.9,47.09891
81,-37.2,590.17114
82,-13.4,40.60903
83,-25.2,240.39359
84,-28.8,289.42288
85,-13.2,18.83692
86,-5.7,0.14106
87,1.0,3.93389
88,-25.2,247.06654
89,-37.2,585.32526
90,-10.8,9.8194
91,-6.8,35.77342
92,0.1,-0.70728
93,-37.2,333.8476
94,-26.6,106.86096
95,-2.4,1.74909
96,-47.4,689.28064
97,-36.2,554.38574
98,-11.2,19.90848
99,-15.1,15.19815
100,-11.2,14.20481
101,-37.2,577.75
102,-27.8,284.01056
103,-14.4,30.24603
104,-7.8,1.27818
105,-17.1,22.7643
106,-16.6,67.92352
107,-35.2,522.01886
108,-19.9,105.39689
109,-2.9,5.36608
110,-29.4,280.45657
111,-10.2,19.4823
112,-25.8,132.91718
113,-12.7,9.90617
114,-40.6,379.04614
115,-3.6,1.35059
116,-12.3,21.34658
117,-21.0,42.38442
118,7.1,43.57492
119,-50.2,737.1156
120,-22.8,158.2397
121,-46.0,621.77106
122,-25.4,262.48383
123,-18.0,87.95364
124,-2.3,10.36948
125,-5.6,2.4786
126,-5.2,3.26848
127,-22.9,214.733
128,-28.6,193.39206
129,-44.5,706.63336
130,-39.4,562.81989
131,-28.6,319.42441
132,-34.4,382.39606
133,-35.2,410.32516
134,-34.8,442.57489
135,-15.4,69.70127
